Timing,Xms,Xmx,GCollector
0.09375,1792,1536,UseParallelGC
0.09375,1792,1664,UseParallelGC
1.268229,1792,1792,UseParallelGC
1.221354,1792,1920,UseParallelGC
0.09375,1920,256,UseParallelGC
9.895834E-02,1920,384,UseParallelGC
0.09375,1920,512,UseParallelGC
8.854166E-02,1920,640,UseParallelGC
0.09375,1920,768,UseParallelGC
0.09375,1920,896,UseParallelGC
9.895834E-02,1920,1024,UseParallelGC
0.09375,1920,1152,UseParallelGC
0.09375,1920,1280,UseParallelGC
0.09375,1920,1408,UseParallelGC
0.09375,1920,1536,UseParallelGC
0.09375,1920,1664,UseParallelGC
9.114584E-02,1920,1792,UseParallelGC
1.364583,1920,1920,UseParallelGC
8.333334E-02,256,256,UseConcMarkSweepGC
8.854166E-02,256,384,UseConcMarkSweepGC
9.635416E-02,256,512,UseConcMarkSweepGC
8.854166E-02,256,640,UseConcMarkSweepGC
8.854166E-02,256,768,UseConcMarkSweepGC
8.854166E-02,256,896,UseConcMarkSweepGC
9.114584E-02,256,1024,UseConcMarkSweepGC
0.09375,256,1152,UseConcMarkSweepGC
0.09375,256,1280,UseConcMarkSweepGC
8.854166E-02,256,1408,UseConcMarkSweepGC
8.854166E-02,256,1536,UseConcMarkSweepGC
8.854166E-02,256,1664,UseConcMarkSweepGC
8.854166E-02,256,1792,UseConcMarkSweepGC
8.854166E-02,256,1920,UseConcMarkSweepGC
0.09375,384,256,UseConcMarkSweepGC
8.333334E-02,384,384,UseConcMarkSweepGC
0.09375,384,512,UseConcMarkSweepGC
8.854166E-02,384,640,UseConcMarkSweepGC
0.09375,384,768,UseConcMarkSweepGC
8.854166E-02,384,896,UseConcMarkSweepGC
8.854166E-02,384,1024,UseConcMarkSweepGC
8.333334E-02,384,1152,UseConcMarkSweepGC
8.333334E-02,384,1280,UseConcMarkSweepGC
8.854166E-02,384,1408,UseConcMarkSweepGC
0.09375,384,1536,UseConcMarkSweepGC
8.854166E-02,384,1664,UseConcMarkSweepGC
8.854166E-02,384,1792,UseConcMarkSweepGC
9.895834E-02,384,1920,UseConcMarkSweepGC
8.854166E-02,512,256,UseConcMarkSweepGC
0.09375,512,384,UseConcMarkSweepGC
0.09375,512,512,UseConcMarkSweepGC
0.09375,512,640,UseConcMarkSweepGC
8.854166E-02,512,768,UseConcMarkSweepGC
8.854166E-02,512,896,UseConcMarkSweepGC
0.09375,512,1024,UseConcMarkSweepGC
8.854166E-02,512,1152,UseConcMarkSweepGC
0.09375,512,1280,UseConcMarkSweepGC
8.854166E-02,512,1408,UseConcMarkSweepGC
0.09375,512,1536,UseConcMarkSweepGC
0.09375,512,1664,UseConcMarkSweepGC
8.854166E-02,512,1792,UseConcMarkSweepGC
0.09375,512,1920,UseConcMarkSweepGC
8.854166E-02,640,256,UseConcMarkSweepGC
8.854166E-02,640,384,UseConcMarkSweepGC
9.635416E-02,640,512,UseConcMarkSweepGC
9.114584E-02,640,640,UseConcMarkSweepGC
0.0859375,640,768,UseConcMarkSweepGC
8.854166E-02,640,896,UseConcMarkSweepGC
9.114584E-02,640,1024,UseConcMarkSweepGC
9.114584E-02,640,1152,UseConcMarkSweepGC
0.09375,640,1280,UseConcMarkSweepGC
0.0859375,640,1408,UseConcMarkSweepGC
0.09375,640,1536,UseConcMarkSweepGC
8.854166E-02,640,1664,UseConcMarkSweepGC
8.854166E-02,640,1792,UseConcMarkSweepGC
0.09375,640,1920,UseConcMarkSweepGC
0.09375,768,256,UseConcMarkSweepGC
8.854166E-02,768,384,UseConcMarkSweepGC
8.854166E-02,768,512,UseConcMarkSweepGC
0.09375,768,640,UseConcMarkSweepGC
0.09375,768,768,UseConcMarkSweepGC
0.09375,768,896,UseConcMarkSweepGC
0.09375,768,1024,UseConcMarkSweepGC
8.854166E-02,768,1152,UseConcMarkSweepGC
8.854166E-02,768,1280,UseConcMarkSweepGC
8.854166E-02,768,1408,UseConcMarkSweepGC
9.895834E-02,768,1536,UseConcMarkSweepGC
8.854166E-02,768,1664,UseConcMarkSweepGC
8.854166E-02,768,1792,UseConcMarkSweepGC
0.09375,768,1920,UseConcMarkSweepGC
8.854166E-02,896,256,UseConcMarkSweepGC
8.854166E-02,896,384,UseConcMarkSweepGC
8.854166E-02,896,512,UseConcMarkSweepGC
0.09375,896,640,UseConcMarkSweepGC
8.854166E-02,896,768,UseConcMarkSweepGC
