Timing,Xms,Xmx,GCollector
37.89844,512,896,UseParallelGC
35.60677,512,1024,UseParallelGC
35.77864,512,1152,UseParallelGC
32.26563,512,1280,UseParallelGC
33.17708,512,1408,UseParallelGC
31.85417,512,1536,UseParallelGC
29.58854,512,1664,UseParallelGC
27.71354,512,1792,UseParallelGC
26.45573,512,1920,UseParallelGC
0.09375,640,256,UseParallelGC
0.09375,640,384,UseParallelGC
8.854166E-02,640,512,UseParallelGC
39.28646,640,640,UseParallelGC
38.30989,640,768,UseParallelGC
36.49219,640,896,UseParallelGC
36.47396,640,1024,UseParallelGC
34.98698,640,1152,UseParallelGC
32.59896,640,1280,UseParallelGC
31.57552,640,1408,UseParallelGC
30.45313,640,1536,UseParallelGC
28.98698,640,1664,UseParallelGC
29.83333,640,1792,UseParallelGC
29.42188,640,1920,UseParallelGC
0.1041667,768,256,UseParallelGC
0.09375,768,384,UseParallelGC
0.09375,768,512,UseParallelGC
9.895834E-02,768,640,UseParallelGC
37.93229,768,768,UseParallelGC
36.08073,768,896,UseParallelGC
37.00781,768,1024,UseParallelGC
33.29688,768,1152,UseParallelGC
31.72135,768,1280,UseParallelGC
32.375,768,1408,UseParallelGC
31.34375,768,1536,UseParallelGC
30.07031,768,1664,UseParallelGC
31.01563,768,1792,UseParallelGC
27.5599,768,1920,UseParallelGC
0.09375,896,256,UseParallelGC
8.854166E-02,896,384,UseParallelGC
8.854166E-02,896,512,UseParallelGC
0.09375,896,640,UseParallelGC
8.854166E-02,896,768,UseParallelGC
35.76563,896,896,UseParallelGC
32.86719,896,1024,UseParallelGC
32.65104,896,1152,UseParallelGC
29.98698,896,1280,UseParallelGC
29.84635,896,1408,UseParallelGC
28.73438,896,1536,UseParallelGC
26.20313,896,1664,UseParallelGC
25.38802,896,1792,UseParallelGC
26.19531,896,1920,UseParallelGC
0.09375,1024,256,UseParallelGC
8.854166E-02,1024,384,UseParallelGC
8.333334E-02,1024,512,UseParallelGC
9.895834E-02,1024,640,UseParallelGC
8.854166E-02,1024,768,UseParallelGC
8.854166E-02,1024,896,UseParallelGC
34.09896,1024,1024,UseParallelGC
31.42708,1024,1152,UseParallelGC
29.60156,1024,1280,UseParallelGC
30.3099,1024,1408,UseParallelGC
28.45052,1024,1536,UseParallelGC
25.96354,1024,1664,UseParallelGC
27.55469,1024,1792,UseParallelGC
25.16927,1024,1920,UseParallelGC
0.09375,1152,256,UseParallelGC
9.895834E-02,1152,384,UseParallelGC
8.854166E-02,1152,512,UseParallelGC
8.854166E-02,1152,640,UseParallelGC
9.635416E-02,1152,768,UseParallelGC
9.635416E-02,1152,896,UseParallelGC
0.0859375,1152,1024,UseParallelGC
32.73177,1152,1152,UseParallelGC
30.90625,1152,1280,UseParallelGC
30.67188,1152,1408,UseParallelGC
27.89063,1152,1536,UseParallelGC
27.60938,1152,1664,UseParallelGC
27.15104,1152,1792,UseParallelGC
24.48958,1152,1920,UseParallelGC
0.09375,1280,256,UseParallelGC
0.09375,1280,384,UseParallelGC
0.09375,1280,512,UseParallelGC
8.854166E-02,1280,640,UseParallelGC
0.09375,1280,768,UseParallelGC
8.854166E-02,1280,896,UseParallelGC
8.854166E-02,1280,1024,UseParallelGC
0.09375,1280,1152,UseParallelGC
30.83073,1280,1280,UseParallelGC
31.00521,1280,1408,UseParallelGC
28.9401,1280,1536,UseParallelGC
28.84896,1280,1664,UseParallelGC
25.99479,1280,1792,UseParallelGC
26.7474,1280,1920,UseParallelGC
0.09375,1408,256,UseParallelGC
8.854166E-02,1408,384,UseParallelGC
0.09375,1408,512,UseParallelGC
8.854166E-02,1408,640,UseParallelGC
8.854166E-02,1408,768,UseParallelGC
8.854166E-02,1408,896,UseParallelGC
8.854166E-02,1408,1024,UseParallelGC
8.854166E-02,1408,1152,UseParallelGC
8.854166E-02,1408,1280,UseParallelGC
30.02865,1408,1408,UseParallelGC
30.6224,1408,1536,UseParallelGC
27.41667,1408,1664,UseParallelGC
24.8151,1408,1792,UseParallelGC
25.8776,1408,1920,UseParallelGC
0.1041667,1536,256,UseParallelGC
0.0859375,1536,384,UseParallelGC
8.854166E-02,1536,512,UseParallelGC
8.854166E-02,1536,640,UseParallelGC
0.09375,1536,768,UseParallelGC
8.854166E-02,1536,896,UseParallelGC
8.333334E-02,1536,1024,UseParallelGC
8.854166E-02,1536,1152,UseParallelGC
8.854166E-02,1536,1280,UseParallelGC
0.0859375,1536,1408,UseParallelGC
29.08594,1536,1536,UseParallelGC
28.60417,1536,1664,UseParallelGC
26.67969,1536,1792,UseParallelGC
24.9401,1536,1920,UseParallelGC
0.09375,1664,256,UseParallelGC
8.854166E-02,1664,384,UseParallelGC
8.854166E-02,1664,512,UseParallelGC
8.854166E-02,1664,640,UseParallelGC
8.854166E-02,1664,768,UseParallelGC
8.854166E-02,1664,896,UseParallelGC
8.854166E-02,1664,1024,UseParallelGC
8.854166E-02,1664,1152,UseParallelGC
8.333334E-02,1664,1280,UseParallelGC
8.854166E-02,1664,1408,UseParallelGC
8.854166E-02,1664,1536,UseParallelGC
27.9401,1664,1664,UseParallelGC
25.23698,1664,1792,UseParallelGC
26.27865,1664,1920,UseParallelGC
9.895834E-02,1792,256,UseParallelGC
0.09375,1792,384,UseParallelGC
8.854166E-02,1792,512,UseParallelGC
8.854166E-02,1792,640,UseParallelGC
8.854166E-02,1792,768,UseParallelGC
8.854166E-02,1792,896,UseParallelGC
8.854166E-02,1792,1024,UseParallelGC
8.854166E-02,1792,1152,UseParallelGC
8.854166E-02,1792,1280,UseParallelGC
8.854166E-02,1792,1408,UseParallelGC
0.1041667,1792,1536,UseParallelGC
0.109375,1792,1664,UseParallelGC
26.03906,1792,1792,UseParallelGC
25.26302,1792,1920,UseParallelGC
9.895834E-02,1920,256,UseParallelGC
0.1041667,1920,384,UseParallelGC
8.854166E-02,1920,512,UseParallelGC
8.854166E-02,1920,640,UseParallelGC
8.854166E-02,1920,768,UseParallelGC
8.854166E-02,1920,896,UseParallelGC
8.854166E-02,1920,1024,UseParallelGC
8.854166E-02,1920,1152,UseParallelGC
8.854166E-02,1920,1280,UseParallelGC
8.854166E-02,1920,1408,UseParallelGC
8.333334E-02,1920,1536,UseParallelGC
8.854166E-02,1920,1664,UseParallelGC
8.854166E-02,1920,1792,UseParallelGC
26.48177,1920,1920,UseParallelGC
8.854166E-02,256,256,UseConcMarkSweepGC
8.854166E-02,256,384,UseConcMarkSweepGC
8.854166E-02,256,512,UseConcMarkSweepGC
